,year,country,expectancy,dtp3,continent
1902,1994,Poland,71.7,96.0,Europe
1903,1995,Poland,71.9,96.0,Europe
1904,1996,Poland,72.3,97.0,Europe
1905,1997,Poland,72.6,98.0,Europe
1906,1998,Poland,73.0,98.0,Europe
1907,1999,Poland,73.1,98.0,Europe
1908,2000,Poland,73.8,98.0,Europe
1909,2001,Poland,74.2,98.0,Europe
1910,2002,Poland,74.6,99.0,Europe
1911,2003,Poland,74.9,99.0,Europe
1912,2004,Poland,75.0,99.0,Europe
1913,2005,Poland,75.2,99.0,Europe
1914,2006,Poland,75.3,99.0,Europe
1915,2007,Poland,75.4,99.0,Europe
1916,2008,Poland,75.6,99.0,Europe
1917,2009,Poland,75.8,99.0,Europe
1918,2010,Poland,76.3,99.0,Europe
1919,2011,Poland,76.5,99.0,Europe
1920,1980,Portugal,71.6,73.0,Europe
1921,1981,Portugal,72.0,75.0,Europe
1922,1982,Portugal,72.4,78.0,Europe
1923,1983,Portugal,72.6,79.0,Europe
1924,1984,Portugal,72.9,78.0,Europe
1925,1985,Portugal,73.2,72.0,Europe
1926,1986,Portugal,73.5,81.0,Europe
1927,1987,Portugal,73.8,83.0,Europe
1928,1988,Portugal,74.0,81.0,Europe
1929,1989,Portugal,74.2,88.0,Europe
1930,1990,Portugal,74.3,89.0,Europe
1931,1991,Portugal,74.5,96.0,Europe
1932,1992,Portugal,74.8,94.0,Europe
1933,1993,Portugal,75.0,93.0,Europe
1934,1994,Portugal,75.2,97.0,Europe
1935,1995,Portugal,75.3,93.0,Europe
1936,1996,Portugal,75.5,95.0,Europe
1937,1997,Portugal,75.8,94.0,Europe
1938,1998,Portugal,76.0,97.0,Europe
1939,1999,Portugal,76.3,97.0,Europe
1940,2000,Portugal,76.7,96.0,Europe
1941,2001,Portugal,77.0,97.0,Europe
1942,2002,Portugal,77.3,98.0,Europe
1943,2003,Portugal,77.6,99.0,Europe
1944,2004,Portugal,78.0,95.0,Europe
1945,2005,Portugal,78.3,93.0,Europe
1946,2006,Portugal,78.8,97.0,Europe
1947,2007,Portugal,79.0,97.0,Europe
1948,2008,Portugal,79.3,97.0,Europe
1949,2009,Portugal,79.6,96.0,Europe
1950,2010,Portugal,79.8,98.0,Europe
1951,2011,Portugal,80.1,98.0,Europe
1952,1980,Saudi Arabia,71.1,41.0,Asia
1953,1981,Saudi Arabia,71.5,53.0,Asia
1954,1982,Saudi Arabia,71.7,62.0,Asia
1955,1983,Saudi Arabia,71.8,67.0,Asia
1956,1984,Saudi Arabia,71.9,76.0,Asia
1957,1985,Saudi Arabia,72.0,81.0,Asia
1958,1986,Saudi Arabia,72.1,86.0,Asia
1959,1987,Saudi Arabia,72.2,89.0,Asia
1960,1988,Saudi Arabia,72.3,89.0,Asia
1961,1989,Saudi Arabia,72.3,96.0,Asia
1962,1990,Saudi Arabia,72.1,92.0,Asia
1963,1991,Saudi Arabia,72.4,91.0,Asia
1964,1992,Saudi Arabia,72.6,91.0,Asia
1965,1993,Saudi Arabia,72.7,94.0,Asia
1966,1994,Saudi Arabia,72.8,95.0,Asia
1967,1995,Saudi Arabia,72.9,96.0,Asia
1968,1996,Saudi Arabia,72.9,93.0,Asia
1969,1997,Saudi Arabia,72.8,92.0,Asia
1970,1998,Saudi Arabia,72.8,94.0,Asia
1971,1999,Saudi Arabia,72.8,93.0,Asia
1972,2000,Saudi Arabia,73.0,95.0,Asia
1973,2001,Saudi Arabia,73.1,97.0,Asia
1974,2002,Saudi Arabia,73.3,95.0,Asia
1975,2003,Saudi Arabia,73.5,95.0,Asia
1976,2004,Saudi Arabia,73.6,96.0,Asia
1977,2005,Saudi Arabia,73.9,96.0,Asia
1978,2006,Saudi Arabia,74.1,96.0,Asia
1979,2007,Saudi Arabia,74.4,96.0,Asia
1980,2008,Saudi Arabia,74.7,98.0,Asia
1981,2009,Saudi Arabia,74.9,98.0,Asia
1982,2010,Saudi Arabia,75.1,98.0,Asia
1983,2011,Saudi Arabia,75.3,98.0,Asia
1984,1980,Singapore,71.6,84.0,Asia
1985,1981,Singapore,71.8,87.0,Asia
1986,1982,Singapore,72.0,83.0,Asia
1987,1983,Singapore,72.3,84.0,Asia
1988,1984,Singapore,72.8,77.0,Asia
1989,1985,Singapore,73.2,78.0,Asia
1990,1986,Singapore,73.7,91.0,Asia
1991,1987,Singapore,74.0,96.0,Asia
1992,1988,Singapore,74.4,90.0,Asia
1993,1989,Singapore,74.8,90.0,Asia
1994,1990,Singapore,75.5,85.0,Asia
1995,1991,Singapore,76.1,91.0,Asia
1996,1992,Singapore,76.6,89.0,Asia
1997,1993,Singapore,76.9,92.0,Asia
1998,1994,Singapore,77.2,95.0,Asia
1999,1995,Singapore,77.4,98.0,Asia
2000,1996,Singapore,77.7,97.0,Asia
2001,1997,Singapore,78.2,98.0,Asia
2002,1998,Singapore,78.5,97.0,Asia
2003,1999,Singapore,78.9,97.0,Asia
2004,2000,Singapore,79.4,98.0,Asia
2005,2001,Singapore,79.8,96.0,Asia
2006,2002,Singapore,80.1,94.0,Asia
2007,2003,Singapore,80.4,96.0,Asia
2008,2004,Singapore,80.7,95.0,Asia
2009,2005,Singapore,80.9,96.0,Asia
2010,2006,Singapore,81.1,95.0,Asia
2011,2007,Singapore,81.6,96.0,Asia
2012,2008,Singapore,82.1,97.0,Asia
2013,2009,Singapore,82.4,97.0,Asia
2014,2010,Singapore,82.7,97.0,Asia
2015,2011,Singapore,82.9,96.0,Asia
2016,1980,Sri Lanka,68.9,46.0,Asia
2017,1981,Sri Lanka,69.5,45.0,Asia
2018,1982,Sri Lanka,69.7,57.0,Asia
2019,1983,Sri Lanka,69.8,64.0,Asia
2020,1984,Sri Lanka,69.8,66.0,Asia
2021,1985,Sri Lanka,70.3,70.0,Asia
2022,1986,Sri Lanka,70.8,75.0,Asia
2023,1987,Sri Lanka,70.8,77.0,Asia
2024,1988,Sri Lanka,71.1,83.0,Asia
2025,1989,Sri Lanka,71.7,87.0,Asia
2026,1990,Sri Lanka,71.6,86.0,Asia
2027,1991,Sri Lanka,71.6,86.0,Asia
2028,1992,Sri Lanka,72.2,88.0,Asia
2029,1993,Sri Lanka,72.9,90.0,Asia
2030,1994,Sri Lanka,73.0,88.0,Asia
2031,1995,Sri Lanka,72.2,93.0,Asia
2032,1996,Sri Lanka,72.1,92.0,Asia
2033,1997,Sri Lanka,72.1,97.0,Asia
2034,1998,Sri Lanka,72.2,94.0,Asia
2035,1999,Sri Lanka,72.7,99.0,Asia
2036,2000,Sri Lanka,72.8,99.0,Asia
2037,2001,Sri Lanka,73.3,98.0,Asia
2038,2002,Sri Lanka,73.5,98.0,Asia
2039,2003,Sri Lanka,74.1,99.0,Asia
2040,2004,Sri Lanka,69.6,97.0,Asia
2041,2005,Sri Lanka,74.1,99.0,Asia
2042,2006,Sri Lanka,74.4,98.0,Asia
2043,2007,Sri Lanka,74.7,98.0,Asia
2044,2008,Sri Lanka,74.0,98.0,Asia
2045,2009,Sri Lanka,73.9,97.0,Asia
2046,2010,Sri Lanka,74.4,99.0,Asia
2047,2011,Sri Lanka,76.0,99.0,Asia
2048,1980,Sudan,54.9,1.0,Africa
2049,1981,Sudan,55.5,1.0,Africa
2050,1982,Sudan,55.7,2.0,Africa
2051,1983,Sudan,49.8,3.0,Africa
2052,1984,Sudan,50.2,4.0,Africa
2053,1985,Sudan,50.5,8.0,Africa
2054,1986,Sudan,56.6,14.0,Africa
2055,1987,Sudan,56.9,27.0,Africa
2056,1988,Sudan,57.5,40.0,Africa
2057,1989,Sudan,58.0,60.0,Africa
2058,1990,Sudan,58.6,62.0,Africa
2059,1991,Sudan,59.1,62.0,Africa
2060,1992,Sudan,59.3,53.0,Africa
2061,1993,Sudan,59.8,51.0,Africa
2062,1994,Sudan,60.1,46.0,Africa
2063,1995,Sudan,60.4,48.0,Africa
2064,1996,Sudan,60.7,56.0,Africa
2065,1997,Sudan,61.1,55.0,Africa
2066,1998,Sudan,61.5,46.0,Africa
2067,1999,Sudan,61.9,55.0,Africa
2068,2000,Sudan,62.6,62.0,Africa
2069,2001,Sudan,63.2,66.0,Africa
2070,2002,Sudan,63.7,60.0,Africa
2071,2003,Sudan,63.8,69.0,Africa
2072,2004,Sudan,64.1,74.0,Africa
2073,2005,Sudan,64.9,78.0,Africa
2074,2006,Sudan,65.2,78.0,Africa
2075,2007,Sudan,65.6,84.0,Africa
2076,2008,Sudan,65.9,86.0,Africa
2077,2009,Sudan,66.1,81.0,Africa
2078,2010,Sudan,66.3,90.0,Africa
2079,2011,Sudan,66.5,93.0,Africa
2080,1980,Sweden,75.9,99.0,Europe
2081,1981,Sweden,76.2,99.0,Europe
2082,1982,Sweden,76.4,99.0,Europe
2083,1983,Sweden,76.7,99.0,Europe
2084,1984,Sweden,76.9,99.0,Europe
2085,1985,Sweden,76.9,99.0,Europe
2086,1986,Sweden,77.0,99.0,Europe
2087,1987,Sweden,77.1,99.0,Europe
2088,1988,Sweden,77.2,99.0,Europe
2089,1989,Sweden,77.5,99.0,Europe
2090,1990,Sweden,77.6,99.0,Europe
2091,1991,Sweden,77.8,99.0,Europe
2092,1992,Sweden,78.1,99.0,Europe
2093,1993,Sweden,78.3,99.0,Europe
2094,1994,Sweden,78.5,99.0,Europe
2095,1995,Sweden,78.8,99.0,Europe
2096,1996,Sweden,79.1,99.0,Europe
2097,1997,Sweden,79.3,99.0,Europe
2098,1998,Sweden,79.4,99.0,Europe
2099,1999,Sweden,79.5,99.0,Europe
2100,2000,Sweden,79.7,99.0,Europe
2101,2001,Sweden,79.8,99.0,Europe
2102,2002,Sweden,80.0,99.0,Europe
2103,2003,Sweden,80.1,99.0,Europe
2104,2004,Sweden,80.2,99.0,Europe
2105,2005,Sweden,80.5,98.0,Europe
2106,2006,Sweden,80.7,98.0,Europe
2107,2007,Sweden,80.9,98.0,Europe
2108,2008,Sweden,81.1,98.0,Europe
2109,2009,Sweden,81.3,98.0,Europe
2110,2010,Sweden,81.5,98.0,Europe
2111,2011,Sweden,81.7,98.0,Europe
2112,1980,Syria,68.9,13.0,Asia
2113,1981,Syria,69.2,14.0,Asia
2114,1982,Syria,65.9,15.0,Asia
2115,1983,Syria,69.7,21.0,Asia
2116,1984,Syria,70.0,25.0,Asia
2117,1985,Syria,70.1,29.0,Asia
2118,1986,Syria,70.3,86.0,Asia
2119,1987,Syria,70.4,42.0,Asia
2120,1988,Syria,70.6,59.0,Asia
2121,1989,Syria,70.8,94.0,Asia
2122,1990,Syria,71.0,91.0,Asia
2123,1991,Syria,71.2,89.0,Asia
2124,1992,Syria,71.6,89.0,Asia
2125,1993,Syria,71.8,90.0,Asia
2126,1994,Syria,71.9,89.0,Asia
2127,1995,Syria,72.1,89.0,Asia
2128,1996,Syria,72.3,88.0,Asia
2129,1997,Syria,72.5,87.0,Asia
2130,1998,Syria,72.7,87.0,Asia
2131,1999,Syria,73.0,86.0,Asia
2132,2000,Syria,73.3,84.0,Asia
2133,2001,Syria,73.7,82.0,Asia
2134,2002,Syria,74.0,84.0,Asia
2135,2003,Syria,74.3,83.0,Asia
2136,2004,Syria,74.6,81.0,Asia
2137,2005,Syria,74.9,80.0,Asia
2138,2006,Syria,75.1,80.0,Asia
2139,2007,Syria,75.3,80.0,Asia
2140,2008,Syria,75.5,79.0,Asia
2141,2009,Syria,75.8,80.0,Asia
2142,2010,Syria,76.2,80.0,Asia
2143,2011,Syria,75.0,72.0,Asia
2144,1980,Tanzania,55.8,59.0,Africa
2145,1981,Tanzania,56.0,55.0,Africa
2146,1982,Tanzania,56.0,50.0,Africa
2147,1983,Tanzania,56.3,52.0,Africa
2148,1984,Tanzania,56.3,58.0,Africa
2149,1985,Tanzania,56.4,67.0,Africa
2150,1986,Tanzania,56.3,74.0,Africa
2151,1987,Tanzania,56.0,79.0,Africa
2152,1988,Tanzania,55.7,85.0,Africa
2153,1989,Tanzania,55.3,77.0,Africa
2154,1990,Tanzania,54.9,78.0,Africa
2155,1991,Tanzania,54.6,81.0,Africa
2156,1992,Tanzania,54.0,83.0,Africa
2157,1993,Tanzania,53.7,83.0,Africa
2158,1994,Tanzania,53.2,84.0,Africa
2159,1995,Tanzania,52.9,81.0,Africa
2160,1996,Tanzania,52.7,82.0,Africa
2161,1997,Tanzania,52.5,79.0,Africa
2162,1998,Tanzania,52.5,79.0,Africa
2163,1999,Tanzania,52.5,76.0,Africa
2164,2000,Tanzania,52.9,79.0,Africa
2165,2001,Tanzania,53.4,87.0,Africa
2166,2002,Tanzania,53.8,89.0,Africa
2167,2003,Tanzania,54.3,95.0,Africa
2168,2004,Tanzania,54.8,95.0,Africa
2169,2005,Tanzania,55.3,90.0,Africa
2170,2006,Tanzania,56.0,90.0,Africa
2171,2007,Tanzania,57.0,83.0,Africa
2172,2008,Tanzania,58.0,86.0,Africa
2173,2009,Tanzania,58.6,85.0,Africa
2174,2010,Tanzania,59.3,91.0,Africa
2175,2011,Tanzania,59.9,90.0,Africa
2176,1980,Thailand,66.4,49.0,Asia
2177,1981,Thailand,66.6,52.0,Asia
2178,1982,Thailand,66.8,49.0,Asia
2179,1983,Thailand,67.3,49.0,Asia
2180,1984,Thailand,68.0,53.0,Asia
2181,1985,Thailand,68.8,62.0,Asia
2182,1986,Thailand,69.4,66.0,Asia
2183,1987,Thailand,69.8,75.0,Asia
2184,1988,Thailand,70.1,80.0,Asia
2185,1989,Thailand,70.4,84.0,Asia
2186,1990,Thailand,70.6,92.0,Asia
2187,1991,Thailand,70.8,90.0,Asia
2188,1992,Thailand,70.7,85.0,Asia
2189,1993,Thailand,70.8,89.0,Asia
2190,1994,Thailand,70.8,93.0,Asia
2191,1995,Thailand,70.9,96.0,Asia
2192,1996,Thailand,71.1,94.0,Asia
2193,1997,Thailand,71.2,95.0,Asia
2194,1998,Thailand,71.3,96.0,Asia
2195,1999,Thailand,71.6,97.0,Asia
2196,2000,Thailand,72.0,97.0,Asia
2197,2001,Thailand,72.4,96.0,Asia
2198,2002,Thailand,72.8,96.0,Asia
2199,2003,Thailand,73.3,98.0,Asia
2200,2004,Thailand,73.4,98.0,Asia
2201,2005,Thailand,74.2,98.0,Asia
2202,2006,Thailand,74.6,98.0,Asia
2203,2007,Thailand,75.1,98.0,Asia
2204,2008,Thailand,75.6,99.0,Asia
2205,2009,Thailand,76.1,99.0,Asia
2206,2010,Thailand,76.6,99.0,Asia
2207,2011,Thailand,76.9,99.0,Asia
2208,1980,Trinidad and Tobago,68.1,26.0,Americas
2209,1981,Trinidad and Tobago,68.4,62.0,Americas
2210,1982,Trinidad and Tobago,68.6,54.0,Americas
2211,1983,Trinidad and Tobago,68.7,60.0,Americas
2212,1984,Trinidad and Tobago,68.8,65.0,Americas
2213,1985,Trinidad and Tobago,69.0,75.0,Americas
2214,1986,Trinidad and Tobago,69.1,70.0,Americas
2215,1987,Trinidad and Tobago,69.1,79.0,Americas
2216,1988,Trinidad and Tobago,69.2,82.0,Americas
2217,1989,Trinidad and Tobago,69.2,77.0,Americas
2218,1990,Trinidad and Tobago,69.1,82.0,Americas
2219,1991,Trinidad and Tobago,69.2,82.0,Americas
2220,1992,Trinidad and Tobago,69.1,87.0,Americas
2221,1993,Trinidad and Tobago,69.2,81.0,Americas
2222,1994,Trinidad and Tobago,69.2,85.0,Americas
2223,1995,Trinidad and Tobago,69.3,89.0,Americas
2224,1996,Trinidad and Tobago,69.3,89.0,Americas
2225,1997,Trinidad and Tobago,69.4,90.0,Americas
2226,1998,Trinidad and Tobago,69.6,91.0,Americas
2227,1999,Trinidad and Tobago,69.3,90.0,Americas
2228,2000,Trinidad and Tobago,69.5,90.0,Americas
2229,2001,Trinidad and Tobago,69.8,91.0,Americas
2230,2002,Trinidad and Tobago,70.0,96.0,Americas
2231,2003,Trinidad and Tobago,70.5,91.0,Americas
2232,2004,Trinidad and Tobago,71.1,94.0,Americas
2233,2005,Trinidad and Tobago,71.3,95.0,Americas
2234,2006,Trinidad and Tobago,71.7,92.0,Americas
2235,2007,Trinidad and Tobago,72.1,88.0,Americas
2236,2008,Trinidad and Tobago,72.3,90.0,Americas
2237,2009,Trinidad and Tobago,72.5,90.0,Americas
2238,2010,Trinidad and Tobago,72.6,90.0,Americas
2239,2011,Trinidad and Tobago,72.7,90.0,Americas
2240,1980,Turkey,64.2,42.0,Europe
2241,1981,Turkey,65.0,64.0,Europe
2242,1982,Turkey,65.8,58.0,Europe
2243,1983,Turkey,66.6,56.0,Europe
2244,1984,Turkey,67.5,56.0,Europe
2245,1985,Turkey,68.0,55.0,Europe
2246,1986,Turkey,68.6,45.0,Europe
2247,1987,Turkey,69.9,86.0,Europe
2248,1988,Turkey,70.4,86.0,Europe
2249,1989,Turkey,70.1,79.0,Europe
2250,1990,Turkey,70.2,84.0,Europe
2251,1991,Turkey,70.2,72.0,Europe
2252,1992,Turkey,70.5,77.0,Europe
2253,1993,Turkey,70.6,76.0,Europe
2254,1994,Turkey,70.7,87.0,Europe
2255,1995,Turkey,70.9,67.0,Europe
2256,1996,Turkey,71.4,72.0,Europe
2257,1997,Turkey,71.9,79.0,Europe
2258,1998,Turkey,72.6,81.0,Europe
2259,1999,Turkey,72.0,79.0,Europe
2260,2000,Turkey,74.1,85.0,Europe
2261,2001,Turkey,74.8,88.0,Europe
2262,2002,Turkey,75.4,78.0,Europe
2263,2003,Turkey,75.5,68.0,Europe
2264,2004,Turkey,76.3,85.0,Europe
2265,2005,Turkey,76.7,90.0,Europe
2266,2006,Turkey,77.2,90.0,Europe
2267,2007,Turkey,78.1,96.0,Europe
2268,2008,Turkey,78.8,96.0,Europe
2269,2009,Turkey,78.2,96.0,Europe
2270,2010,Turkey,78.2,97.0,Europe
2271,2011,Turkey,78.2,97.0,Europe
2272,1980,United Kingdom,73.5,41.0,Europe
2273,1981,United Kingdom,73.8,46.0,Europe
2274,1982,United Kingdom,74.0,53.0,Europe
2275,1983,United Kingdom,74.2,59.0,Europe
2276,1984,United Kingdom,74.5,65.0,Europe
2277,1985,United Kingdom,74.6,65.0,Europe
2278,1986,United Kingdom,74.8,67.0,Europe
2279,1987,United Kingdom,75.0,73.0,Europe
2280,1988,United Kingdom,75.2,75.0,Europe
2281,1989,United Kingdom,75.4,78.0,Europe
2282,1990,United Kingdom,75.7,84.0,Europe
2283,1991,United Kingdom,75.9,88.0,Europe
2284,1992,United Kingdom,76.1,92.0,Europe
2285,1993,United Kingdom,76.2,93.0,Europe
2286,1994,United Kingdom,76.5,93.0,Europe
2287,1995,United Kingdom,76.6,94.0,Europe
2288,1996,United Kingdom,76.8,94.0,Europe
2289,1997,United Kingdom,77.1,92.0,Europe
2290,1998,United Kingdom,77.3,91.0,Europe
2291,1999,United Kingdom,77.5,92.0,Europe
2292,2000,United Kingdom,77.8,91.0,Europe
2293,2001,United Kingdom,78.0,91.0,Europe
2294,2002,United Kingdom,78.3,91.0,Europe
2295,2003,United Kingdom,78.4,91.0,Europe
2296,2004,United Kingdom,78.8,92.0,Europe
2297,2005,United Kingdom,79.0,91.0,Europe
2298,2006,United Kingdom,79.3,92.0,Europe
2299,2007,United Kingdom,79.6,92.0,Europe
2300,2008,United Kingdom,79.8,92.0,Europe
2301,2009,United Kingdom,80.1,93.0,Europe
2302,2010,United Kingdom,80.3,94.0,Europe
2303,2011,United Kingdom,80.5,95.0,Europe
2304,1980,United States,73.9,96.0,Americas
2305,1981,United States,74.2,96.0,Americas
2306,1982,United States,74.4,96.0,Americas
2307,1983,United States,74.5,97.0,Americas
2308,1984,United States,74.6,97.0,Americas
2309,1985,United States,74.7,96.0,Americas
2310,1986,United States,74.8,97.0,Americas
2311,1987,United States,74.9,97.0,Americas
2312,1988,United States,75.0,97.0,Americas
2313,1989,United States,75.2,94.0,Americas
2314,1990,United States,75.4,90.0,Americas
2315,1991,United States,75.5,86.0,Americas
2316,1992,United States,75.7,83.0,Americas
2317,1993,United States,75.7,88.0,Americas
2318,1994,United States,75.8,94.0,Americas
2319,1995,United States,75.9,95.0,Americas
2320,1996,United States,76.2,95.0,Americas
2321,1997,United States,76.6,96.0,Americas
2322,1998,United States,76.7,96.0,Americas
2323,1999,United States,76.8,96.0,Americas
2324,2000,United States,76.9,94.0,Americas
2325,2001,United States,77.0,94.0,Americas
2326,2002,United States,77.1,94.0,Americas
2327,2003,United States,77.3,96.0,Americas
2328,2004,United States,77.5,96.0,Americas
2329,2005,United States,77.7,96.0,Americas
2330,2006,United States,77.9,95.0,Americas
2331,2007,United States,78.1,95.0,Americas
2332,2008,United States,78.3,95.0,Americas
2333,2009,United States,78.6,94.0,Americas
2334,2010,United States,78.7,94.0,Americas
2335,2011,United States,78.8,94.0,Americas
2336,1980,Uruguay,70.2,53.0,Americas
2337,1981,Uruguay,70.8,57.0,Americas
2338,1982,Uruguay,71.3,67.0,Americas
2339,1983,Uruguay,71.5,73.0,Americas
2340,1984,Uruguay,71.5,62.0,Americas
2341,1985,Uruguay,71.6,63.0,Americas
2342,1986,Uruguay,71.9,70.0,Americas
2343,1987,Uruguay,72.1,85.0,Americas
2344,1988,Uruguay,72.4,82.0,Americas
2345,1989,Uruguay,72.7,88.0,Americas
2346,1990,Uruguay,72.8,97.0,Americas
2347,1991,Uruguay,72.9,96.0,Americas
2348,1992,Uruguay,73.1,93.0,Americas
2349,1993,Uruguay,73.2,92.0,Americas
2350,1994,Uruguay,73.5,91.0,Americas
2351,1995,Uruguay,73.5,91.0,Americas
2352,1996,Uruguay,73.7,91.0,Americas
2353,1997,Uruguay,73.9,91.0,Americas
2354,1998,Uruguay,74.2,91.0,Americas
2355,1999,Uruguay,74.4,93.0,Americas
2356,2000,Uruguay,74.8,90.0,Americas
2357,2001,Uruguay,74.9,94.0,Americas
2358,2002,Uruguay,75.0,95.0,Americas
2359,2003,Uruguay,75.0,91.0,Americas
2360,2004,Uruguay,75.3,94.0,Americas
2361,2005,Uruguay,75.6,96.0,Americas
2362,2006,Uruguay,75.8,95.0,Americas
2363,2007,Uruguay,75.8,94.0,Americas
2364,2008,Uruguay,76.1,94.0,Americas
2365,2009,Uruguay,76.3,95.0,Americas
2366,2010,Uruguay,76.4,95.0,Americas
2367,2011,Uruguay,76.4,95.0,Americas
2368,1980,Venezuela,70.0,56.0,Americas
2369,1981,Venezuela,70.4,54.0,Americas
2370,1982,Venezuela,70.6,53.0,Americas
2371,1983,Venezuela,71.1,58.0,Americas
2372,1984,Venezuela,71.5,33.0,Americas
2373,1985,Venezuela,71.8,49.0,Americas
2374,1986,Venezuela,72.3,58.0,Americas
2375,1987,Venezuela,72.2,57.0,Americas
2376,1988,Venezuela,72.5,56.0,Americas
2377,1989,Venezuela,72.5,57.0,Americas
2378,1990,Venezuela,72.7,63.0,Americas
2379,1991,Venezuela,72.6,64.0,Americas
2380,1992,Venezuela,72.6,67.0,Americas
2381,1993,Venezuela,72.7,67.0,Americas
2382,1994,Venezuela,72.7,63.0,Americas
2383,1995,Venezuela,73.0,68.0,Americas
2384,1996,Venezuela,73.5,57.0,Americas
2385,1997,Venezuela,74.0,60.0,Americas
2386,1998,Venezuela,74.1,39.0,Americas
2387,1999,Venezuela,70.7,76.0,Americas
2388,2000,Venezuela,74.3,77.0,Americas
2389,2001,Venezuela,74.4,70.0,Americas
2390,2002,Venezuela,74.3,65.0,Americas
2391,2003,Venezuela,74.2,68.0,Americas
2392,2004,Venezuela,74.9,86.0,Americas
2393,2005,Venezuela,75.1,87.0,Americas
2394,2006,Venezuela,75.0,71.0,Americas
2395,2007,Venezuela,75.0,62.0,Americas
2396,2008,Venezuela,74.9,50.0,Americas
2397,2009,Venezuela,75.0,84.0,Americas
2398,2010,Venezuela,75.4,78.0,Americas
2399,2011,Venezuela,75.4,78.0,Americas
2400,1981,Bangladesh,54.1,1.0,Asia
2401,1982,Bangladesh,54.4,1.0,Asia
2402,1983,Bangladesh,54.8,1.0,Asia
2403,1984,Bangladesh,55.3,1.0,Asia
2404,1985,Bangladesh,55.3,2.0,Asia
2405,1986,Bangladesh,56.2,4.0,Asia
2406,1987,Bangladesh,56.7,9.0,Asia
2407,1988,Bangladesh,57.1,16.0,Asia
2408,1989,Bangladesh,58.0,49.0,Asia
2409,1990,Bangladesh,58.1,69.0,Asia
2410,1991,Bangladesh,56.5,74.0,Asia
2411,1992,Bangladesh,59.8,66.0,Asia
2412,1993,Bangladesh,60.5,74.0,Asia
2413,1994,Bangladesh,61.3,84.0,Asia
2414,1995,Bangladesh,61.7,69.0,Asia
2415,1996,Bangladesh,62.6,77.0,Asia
2416,1997,Bangladesh,63.5,78.0,Asia
2417,1998,Bangladesh,64.3,74.0,Asia
2418,1999,Bangladesh,65.2,77.0,Asia
2419,2000,Bangladesh,65.5,83.0,Asia
2420,2001,Bangladesh,66.0,85.0,Asia
2421,2002,Bangladesh,66.5,83.0,Asia
2422,2003,Bangladesh,67.1,87.0,Asia
2423,2004,Bangladesh,67.6,96.0,Asia
2424,2005,Bangladesh,68.0,96.0,Asia
2425,2006,Bangladesh,68.5,93.0,Asia
2426,2007,Bangladesh,68.9,95.0,Asia
2427,2008,Bangladesh,69.5,95.0,Asia
2428,2009,Bangladesh,70.1,96.0,Asia
2429,2010,Bangladesh,70.4,95.0,Asia
2430,2011,Bangladesh,71.0,96.0,Asia
2431,1981,Burundi,46.6,36.0,Africa
2432,1982,Burundi,46.9,33.0,Africa
2433,1983,Burundi,47.2,44.0,Africa
2434,1984,Burundi,47.4,26.0,Africa
2435,1985,Burundi,47.6,36.0,Africa
2436,1986,Burundi,47.7,55.0,Africa
2437,1987,Burundi,47.9,68.0,Africa
2438,1988,Burundi,48.0,51.0,Africa
2439,1989,Burundi,48.0,82.0,Africa
2440,1990,Burundi,48.0,86.0,Africa
2441,1991,Burundi,47.9,83.0,Africa
2442,1992,Burundi,47.8,80.0,Africa
2443,1993,Burundi,41.8,63.0,Africa
2444,1994,Burundi,47.5,48.0,Africa
2445,1995,Burundi,47.0,73.0,Africa
2446,1996,Burundi,46.6,73.0,Africa
2447,1997,Burundi,47.0,74.0,Africa
2448,1998,Burundi,47.3,65.0,Africa
2449,1999,Burundi,47.8,79.0,Africa
2450,2000,Burundi,47.9,80.0,Africa
2451,2001,Burundi,49.0,81.0,Africa
2452,2002,Burundi,49.9,81.0,Africa
2453,2003,Burundi,50.9,82.0,Africa
2454,2004,Burundi,52.0,83.0,Africa
2455,2005,Burundi,53.1,87.0,Africa
2456,2006,Burundi,54.3,92.0,Africa
2457,2007,Burundi,55.4,99.0,Africa
2458,2008,Burundi,56.3,92.0,Africa
2459,2009,Burundi,57.1,94.0,Africa
2460,2010,Burundi,57.7,96.0,Africa
2461,2011,Burundi,58.2,96.0,Africa
2462,1981,Cameroon,56.0,5.0,Africa
2463,1982,Cameroon,56.5,15.0,Africa
2464,1983,Cameroon,56.9,25.0,Africa
2465,1984,Cameroon,57.2,27.0,Africa
2466,1985,Cameroon,57.8,33.0,Africa
2467,1986,Cameroon,57.9,39.0,Africa
2468,1987,Cameroon,58.4,44.0,Africa
2469,1988,Cameroon,58.5,50.0,Africa
2470,1989,Cameroon,58.5,56.0,Africa
2471,1990,Cameroon,58.5,48.0,Africa
2472,1991,Cameroon,58.2,42.0,Africa
2473,1992,Cameroon,57.9,37.0,Africa
2474,1993,Cameroon,57.4,37.0,Africa
2475,1994,Cameroon,57.0,38.0,Africa
2476,1995,Cameroon,56.5,46.0,Africa
2477,1996,Cameroon,56.1,46.0,Africa
2478,1997,Cameroon,55.5,48.0,Africa
2479,1998,Cameroon,55.0,56.0,Africa
2480,1999,Cameroon,54.8,59.0,Africa
2481,2000,Cameroon,54.5,62.0,Africa
2482,2001,Cameroon,54.4,63.0,Africa
2483,2002,Cameroon,54.5,66.0,Africa
2484,2003,Cameroon,54.5,73.0,Africa
2485,2004,Cameroon,54.6,73.0,Africa
